nama_normalized,jumlah_sekolah_sd_(negeri)_x,jumlah_sekolah_sd_(swasta)_x,jumlah_sekolah_sd_(negeri+swasta)_x,jumlah_guru_sd_(negeri)_x,jumlah_guru_sd_(swasta)_x,jumlah_guru_sd_(negeri+swasta)_x,jumlah_murid_sd_(negeri)_x,jumlah_murid_sd_(swasta)_x,jumlah_murid_sd_(negeri+swasta)_x,jumlah_sekolah_sd_(negeri)_y,jumlah_sekolah_sd_(swasta)_y,jumlah_sekolah_sd_(negeri+swasta)_y,jumlah_guru_sd_(negeri)_y,jumlah_guru_sd_(swasta)_y,jumlah_guru_sd_(negeri+swasta)_y,jumlah_murid_sd_(negeri)_y,jumlah_murid_sd_(swasta)_y,jumlah_murid_sd_(negeri+swasta)_y,angka_partisipasi_kasar_2024,angka_partisipasi_murni_2024,usia_harapan_hidup_2024,harapan_lama_sekolah_2024,rata-rata_lama_sekolah_2024,pengeluaran_rill_per_kapita_per_tahun_yang_disesuaikan_2024,indeks_pembangunan_manusia_2024,angka_partisipasi_kasar_2024_winsorized,angka_partisipasi_murni_2024_winsorized,usia_harapan_hidup_2024_winsorized,harapan_lama_sekolah_2024_winsorized,rata-rata_lama_sekolah_2024_winsorized,pengeluaran_rill_per_kapita_per_tahun_yang_disesuaikan_2024_winsorized,indeks_pembangunan_manusia_2024_winsorized,angka_partisipasi_kasar_2024_winsorized_winsorized,murid_per_sekolah,aps_sd,murid_per_guru
bangkalan,614,66,680,5071,441,5512,91100,7533,98633,614,66,680,5071,441,5512,91100,7533,98633,107.74,98.7,73.43,11.98,6.01,9.841,67.33,107.74,98.7,73.43,12.1391,6.01,9.841,67.33,107.74,145.04852941176472,107.74,17.89423076923077
banyuwangi,746,60,806,6231,659,6890,90778,11596,102374,746,60,806,6231,659,6890,90778,11596,102374,100.55,95.64,74.13,13.14,7.78,13.32,74.3,100.55,95.64,74.13,13.14,7.78,13.32,74.3,100.55,127.01488833746899,100.55,14.858345428156749
batu,64,15,79,759,246,1005,11369,3813,15182,64,15,79,759,246,1005,11369,3813,15182,100.56,96.37,75.36,14.58,9.87,14.253,79.69,100.56,96.37,75.36,14.58,9.87,14.253,79.69,100.56,192.1772151898734,100.56,15.106467661691543
blitar,2728,188,2916,24716,2452,27168,252244,40964,293208,1364,94,1458,12358,1226,13584,126122,20482,146604,100.565,96.27,75.25999999999999,13.74,9.345,13.4765,77.44,100.565,96.27,75.25999999999999,13.74,9.345,13.4765,77.44,100.565,100.55144032921811,100.565,10.792402826855124
bojonegoro,692,19,711,6001,167,6168,62472,3971,66443,692,19,711,6001,167,6168,62472,3971,66443,101.96,97.01,74.91,13.18,7.59,11.204,72.75,101.96,97.01,74.91,13.18,7.59,11.204,72.75,101.96,93.45007032348805,101.96,10.772211413748378
bondowoso,441,24,465,4590,264,4854,45993,3457,49450,441,24,465,4590,264,4854,45993,3457,49450,102.5,95.31,73.31,13.33,6.53,11.689,71.22,102.5,95.31,73.3285,13.33,6.53,11.689,71.22,102.5,106.34408602150538,102.5,10.187474248042852
gresik,389,76,465,4153,900,5053,57524,16530,74054,389,76,465,4153,900,5053,57524,16530,74054,102.35,97.44,74.48,13.98,10.03,14.356,78.93,102.35,97.44,74.48,13.98,10.03,14.356,78.93,102.35,159.25591397849462,102.35,14.655452206609935
jember,904,145,1049,7341,1409,8750,140356,22240,162596,904,145,1049,7341,1409,8750,140356,22240,162596,100.81,95.81,74.17,13.5,6.54,10.7,70.93,100.81,95.81,74.17,13.5,6.54,10.7,70.93,100.81,155.00095328884652,100.81,18.5824
jombang,474,48,522,3693,513,4206,60136,7927,68063,474,48,522,3693,513,4206,60136,7927,68063,100.54,95.96,74.64,13.61,8.78,12.454,75.67,100.54,95.96,74.64,13.61,8.78,12.454,75.67,100.54,130.38888888888889,100.54,16.182358535425582
kediri,2888,480,3368,26772,4980,31752,373916,94204,468120,1444,240,1684,13386,2490,15876,186958,47102,234060,106.87,95.595,75.505,14.670000000000002,9.59,13.029,78.53,106.4186,95.595,75.505,14.670000000000002,9.59,13.029,78.53,106.134218,138.99049881235155,106.134218,14.743008314436885
