kabupaten_/_kota,angka_partisipasi_kasar_2024,angka_partisipasi_murni_2024,usia_harapan_hidup_2024,harapan_lama_sekolah_2024,rata-rata_lama_sekolah_2024,pengeluaran_rill_per_kapita_per_tahun_yang_disesuaikan_2024,indeks_pembangunan_manusia_2024,kuadran_ipm_-_apm,angka_partisipasi_kasar_2024_winsorized,angka_partisipasi_murni_2024_winsorized,usia_harapan_hidup_2024_winsorized,harapan_lama_sekolah_2024_winsorized,rata-rata_lama_sekolah_2024_winsorized,pengeluaran_rill_per_kapita_per_tahun_yang_disesuaikan_2024_winsorized,indeks_pembangunan_manusia_2024_winsorized,angka_partisipasi_kasar_2024_winsorized_winsorized
Kab. Pacitan,101.87,95.28,74.74,12.69,7.9,10.099,71.49,II,101.87,95.2911,74.74,12.69,7.9,10.099,71.49,101.87
Kab. Ponorogo,101.81,96.63,75.28,13.78,7.8,11.065,73.7,II,101.81,96.63,75.28,13.78,7.8,11.065,73.7,101.81
Kab. Trenggalek,100.64,96.39,75.35,12.63,7.92,10.872,72.47,II,100.64,96.39,75.35,12.63,7.92,10.872,72.47,100.64
Kab. Tulungagung,103.4,99.5,75.2,13.36,8.68,11.966,75.13,I,103.4,99.5,75.2,13.36,8.68,11.966,75.13,103.4
Kab. Blitar,100.08,95.91,75.32,12.67,7.87,12.02,73.44,II,100.08,95.91,75.32,12.67,7.87,12.02,73.44,100.08
Kab. Kediri,100.6,95.75,75.07,13.63,8.26,12.388,75.18,I,100.6,95.75,75.07,13.63,8.26,12.388,75.18,100.6
Kab. Malang,100.8,95.68,75.34,13.49,7.8,11.19,73.53,II,100.8,95.68,75.34,13.49,7.8,11.19,73.53,100.8
Kab. Lumajang,101.35,95.44,74.57,12.41,7.27,10.124,70.31,II,101.35,95.44,74.57,12.41,7.27,10.124,70.31,101.35
Kab. Jember,100.81,95.81,74.17,13.5,6.54,10.7,70.93,II,100.81,95.81,74.17,13.5,6.54,10.7,70.93,100.81
Kab. Banyuwangi,100.55,95.64,74.13,13.14,7.78,13.32,74.3,II,100.55,95.64,74.13,13.14,7.78,13.32,74.3,100.55
Kab. Bondowoso,102.5,95.31,73.31,13.33,6.53,11.689,71.22,II,102.5,95.31,73.3285,13.33,6.53,11.689,71.22,102.5
Kab. Situbondo,104.72,96.86,73.36,13.2,6.93,11.216,71.22,II,104.72,96.86,73.36,13.2,6.93,11.216,71.22,104.72
Kab. Probolinggo,105.75,97.95,73.93,12.64,6.31,12.258,70.85,II,105.75,97.95,73.93,12.64,6.31,12.258,70.85,105.75
